Arabic,Urdu,English
وَقَاسَمَهُمَاۤ اِنِّىۡ لَـكُمَا لَمِنَ النّٰصِحِيۡنَۙ,اور اس نے قسم کھا کر ان سے کہا کہ میں تمہارا سچا خیر خواہ ہوں,"and he swore to them, ""Surely, I am your well-wisher."""
فَدَلّٰٮهُمَا بِغُرُوۡرٍ​ ۚ فَلَمَّا ذَاقَا الشَّجَرَةَ بَدَتۡ لَهُمَا سَوۡءٰتُهُمَا وَطَفِقَا يَخۡصِفٰنِ عَلَيۡهِمَا مِنۡ وَّرَقِ الۡجَـنَّةِ​ ؕ وَنَادٰٮهُمَا رَبُّهُمَاۤ اَلَمۡ اَنۡهَكُمَا عَنۡ تِلۡكُمَا الشَّجَرَةِ وَاَقُلْ لَّـكُمَاۤ اِنَّ الشَّيۡطٰنَ لَـكُمَا عَدُوٌّ مُّبِيۡنٌ,"اس طرح دھو کا دے کر وہ ان دونوں کو رفتہ رفتہ اپنے ڈھب پرلے آیا آخرکار جب انہوں نے اس درخت کا مزا چکھا تو ان کے ستر ایک دوسرے کے سامنے کھل گئے اور اپنے جسموں کو جنت کے پتوں سے ڈھانکنے لگے تب ان کے رب نے انہیں پکارا، "" کیا میں نے تمہیں اس درخت سے نہ روکا تھا اور نہ کہا تھا کہ شیطان تمہارا کھلا دشمن ہے؟""","Thus he cunningly seduced them. When they tasted the tree's fruit, their nakedness became exposed to them and they started covering themselves with the leaves of the garden. Their Lord called out to them, ""Did I not forbid you to approach that tree, and did I not say to you that Satan was surely your open enemy?"""
قَالَا رَبَّنَا ظَلَمۡنَاۤ اَنۡفُسَنَا وَاِنۡ لَّمۡ تَغۡفِرۡ لَـنَا وَتَرۡحَمۡنَا لَـنَكُوۡنَنَّ مِنَ الۡخٰسِرِيۡنَ,"دونوں بول اٹھے، ""اے رب، ہم نے اپنے اوپر ستم کیا، اب اگر تو نے ہم سے در گزر نہ فرمایا اور رحم نہ کیا تو یقیناً ہم تباہ ہو جائیں گے""","They replied, ""Our Lord, we have wronged our souls: if You do not forgive us and have mercy on us, we shall be among the lost."""
قَالَ اهۡبِطُوۡا بَعۡضُكُمۡ لِبَـعۡضٍ عَدُوٌّ​ ۚ وَلَـكُمۡ فِى الۡاَرۡضِ مُسۡتَقَرٌّ وَّمَتَاعٌ اِلٰى حِيۡنٍ,"فرمایا، ""اتر جاؤ، تم ایک دوسرے کے دشمن ہو، اور تمہارے لیے ایک خاص مدت تک زمین ہی میں جائے قرار اور سامان زیست ہے""","He said, ""Go down from here as enemies to each other. For a while, there is an abode for you and a provision on earth."
قَالَ فِيۡهَا تَحۡيَوۡنَ وَفِيۡهَا تَمُوۡتُوۡنَ وَمِنۡهَا تُخۡرَجُوۡنَ,"اور فرمایا، ""وہیں تم کو جینا اور وہیں مرنا ہے اور اسی میں سے تم کو آخرکار نکالا جائے گا""","There you will live; there you will die; from there you will be raised up again."""
يٰبَنِىۡۤ اٰدَمَ قَدۡ اَنۡزَلۡنَا عَلَيۡكُمۡ لِبَاسًا يُّوَارِىۡ سَوۡاٰتِكُمۡ وَرِيۡشًا​ ؕ وَلِبَاسُ التَّقۡوٰى ۙ ذٰ لِكَ خَيۡرٌ​ ؕ ذٰ لِكَ مِنۡ اٰيٰتِ اللّٰهِ لَعَلَّهُمۡ يَذَّكَّرُوۡنَ,اے اولاد آدم، ہم نے تم پر لباس نازل کیا ہے کہ تمہارے جسم کے قابل شرم حصوں کو ڈھانکے اور تمہارے لیے جسم کی حفاظت اور زینت کا ذریعہ بھی ہو، اور بہترین لباس تقویٰ کا لباس ہے یہ اللہ کی نشانیوں میں سے ایک نشانی ہے، شاید کہ لوگ اس سے سبق لیں,"O children of Adam! We have sent down to you clothes to cover your nakedness, and to be pleasing to the eye; but the raiment of righteousness is the best. That is one of the signs of God. So that people may take heed."
يٰبَنِىۡۤ اٰدَمَ لَا يَفۡتِنَـنَّكُمُ الشَّيۡطٰنُ كَمَاۤ اَخۡرَجَ اَبَوَيۡكُمۡ مِّنَ الۡجَـنَّةِ يَنۡزِعُ عَنۡهُمَا لِبَاسَهُمَا لِيُرِيَهُمَا سَوۡءاٰتِهِمَا ؕ اِنَّهٗ يَرٰٮكُمۡ هُوَ وَقَبِيۡلُهٗ مِنۡ حَيۡثُ لَا تَرَوۡنَهُمۡ​ ؕ اِنَّا جَعَلۡنَا الشَّيٰطِيۡنَ اَوۡلِيَآءَ لِلَّذِيۡنَ لَا يُؤۡمِنُوۡنَ,اے بنی آدم، ایسا نہ ہو کہ شیطان تمہیں پھر اُسی طرح فتنے میں مبتلا کر دے جس طرح اس نے تمہارے والدین کو جنت سے نکلوایا تھا اور ا ن کے لباس ان پر سے اتروا دیے تھے تاکہ ان کی شرمگاہیں ایک دوسرے کے سامنے کھولے وہ اور اس کے ساتھی تمہیں ایسی جگہ سے دیکھتے ہیں جہاں سے تم انہیں نہیں دیکھ سکتے اِن شیاطین کو ہم نے اُن لوگوں کا سرپرست بنا دیا ہے جو ایمان نہیں لاتے,"Children of Adam, do not let Satan seduce you, just as he turned your parents out of the Garden: he deprived them of their garment in order to make them aware of their nakedness. He and his forces watch you from where you do not see them! We have made the devils friends of those who do not believe."
وَاِذَا فَعَلُوۡا فَاحِشَةً قَالُوۡا وَجَدۡنَا عَلَيۡهَاۤ اٰبَآءَنَا وَاللّٰهُ اَمَرَنَا بِهَا​ ؕ قُلۡ اِنَّ اللّٰهَ لَا يَاۡمُرُ بِالۡفَحۡشَآءِ​ ؕ اَتَقُوۡلُوۡنَ عَلَى اللّٰهِ مَا لَا تَعۡلَمُوۡنَ,یہ لوگ جب کوئی شرمناک کام کرتے ہیں تو کہتے ہیں ہم نے اپنے باپ دادا کو اسی طریقہ پر پایا ہے اور اللہ ہی نے ہمیں ایسا کرنے کا حکم دیا ہے اِن سے کہو اللہ بے حیائی کا حکم کبھی نہیں دیا کرتا کیا تم اللہ کا نام لے کر وہ باتیں کہتے ہو جن کے متعلق تمہیں علم نہیں ہے (وہ اللہ کی طرف سے ہیں)؟,"And when they commit an indecency, they say, ""This is what our fathers used to do and God has enjoined it on us."" Say, ""God does not enjoin what is indecent. Would you attribute to God something of which you have no knowledge?"""
قُلۡ اَمَرَ رَبِّىۡ بِالۡقِسۡطِ​ وَاَقِيۡمُوۡا وُجُوۡهَكُمۡ عِنۡدَ كُلِّ مَسۡجِدٍ وَّادۡعُوۡهُ مُخۡلِصِيۡنَ لَـهُ الدِّيۡنَ ​ ؕ كَمَا بَدَاَكُمۡ تَعُوۡدُوۡنَؕ ﻿﻿,اے محمدؐ، ان سے کہو، میرے رب نے تو راستی و انصاف کا حکم دیا ہے، اور اس کا حکم تو یہ ہے کہ ہر عبادت میں اپنا رخ ٹھیک رکھو اور اُسی کو پکارو اپنے دین کو اس کے لیے خالص رکھ کر جس طرح اُس نے تمہیں اب پیدا کیا ہے اسی طرح تم پھر پیدا کیے جاؤ گے,"Say, ""My Lord has commanded you to act justly. Turn your faces up toward Him at every time and place of worship, and call upon Him, making yourselves sincere towards Him in religion. As He brought you into being, so shall you return."""
فَرِيۡقًا هَدٰى وَ فَرِيۡقًا حَقَّ عَلَيۡهِمُ الضَّلٰلَةُ ​ ؕ اِنَّهُمُ اتَّخَذُوا الشَّيٰطِيۡنَ اَوۡلِيَآءَ مِنۡ دُوۡنِ اللّٰهِ وَيَحۡسَبُوۡنَ اَنَّهُمۡ مُّهۡتَدُوۡنَ ﻿﻿,ایک گروہ کوتو اس نے سیدھا راستہ دکھا دیا ہے، مگر دوسرے گروہ پر گمراہی چسپاں ہو کر رہ گئی ہے، کیونکہ انہوں نے خدا کے بجائے شیاطین کو اپنا سر پرست بنا لیا ہے اور وہ سمجھ رہے ہیں کہ ہم سیدھی راہ پر ہیں,"Some He has guided and some have earned misguidance: they have taken devils rather than God as their patrons, thinking that they are rightly guided."
يٰبَنِىۡۤ اٰدَمَ خُذُوۡا زِيۡنَتَكُمۡ عِنۡدَ كُلِّ مَسۡجِدٍ وَّكُلُوۡا وَاشۡرَبُوۡا وَلَا تُسۡرِفُوۡا​ ۚ اِنَّهٗ لَا يُحِبُّ الۡمُسۡرِفِيۡنَ,اے بنی آدم، ہر عبادت کے موقع پر اپنی زینت سے آراستہ رہو اور کھاؤ پیو اور حد سے تجاوز نہ کرو، اللہ حد سے بڑھنے والوں کو پسند نہیں کرتا,"O Children of Adam, dress yourself properly whenever you are at worship: and eat and drink but do not be wasteful: God does not like wasteful people."
قُلۡ مَنۡ حَرَّمَ زِيۡنَةَ اللّٰهِ الَّتِىۡۤ اَخۡرَجَ لِعِبَادِهٖ وَالطَّيِّبٰتِ مِنَ الرِّزۡقِ​ؕ قُلۡ هِىَ لِلَّذِيۡنَ اٰمَنُوۡا فِى الۡحَيٰوةِ الدُّنۡيَا خَالِصَةً يَّوۡمَ الۡقِيٰمَةِ​ؕ كَذٰلِكَ نُفَصِّلُ الۡاٰيٰتِ لِقَوۡمٍ يَّعۡلَمُوۡنَ,اے محمدؐ، ان سے کہو کس نے اللہ کی اُس زینت کو حرام کر دیا جسے اللہ نے اپنے بندوں کے لیے نکالا تھا اور کس نے خدا کی بخشی ہوئی پاک چیزیں ممنوع کر دیں؟ کہو، یہ ساری چیزیں دنیا کی زندگی میں بھی ایمان لانے والوں کے لیے ہیں، اور قیامت کے روز تو خالصتاً انہی کے لیے ہوں گی اِس طرح ہم اپنی باتیں صاف صاف بیان کرتے ہیں اُن لوگوں کے لیے جو علم رکھنے والے ہیں,"Say, ""Who has forbidden the adornment of God, which He has brought forth for His servants and good things, clean and pure, which God has provided for His servants?"" Say, ""They are \[lawful\] for the believers in the present life but they shall be exclusively for them on the Day of Resurrection."" Thus We explain Our signs for a people who understand."
قُلۡ اِنَّمَا حَرَّمَ رَبِّىَ الۡـفَوَاحِشَ مَا ظَهَرَ مِنۡهَا وَمَا بَطَنَ وَ الۡاِثۡمَ وَالۡبَـغۡىَ بِغَيۡرِ الۡحَـقِّ وَاَنۡ تُشۡرِكُوۡا بِاللّٰهِ مَا لَمۡ يُنَزِّلۡ بِهٖ سُلۡطٰنًا وَّاَنۡ تَقُوۡلُوۡا عَلَى اللّٰهِ مَا لَا تَعۡلَمُوۡنَ ﻿﻿,اے محمدؐ، اِن سے کہو کہ میرے رب نے جو چیزیں حرام کی ہیں وہ تو یہ ہیں: بے شرمی کے کام خواہ کھلے ہوں یا چھپے اور گناہ اور حق کے خلاف زیادتی اور یہ کہ اللہ کے ساتھ تم کسی کو شریک کرو جس کے لیے اُس نے کوئی سند نازل نہیں کی اور یہ کہ اللہ کے نام پر کوئی ایسی بات کہو جس کے متعلق تمہیں علم نہ ہو کہ وہ حقیقت میں اسی نے فرمائی ہے,"Say,""My Lord has forbidden indecency, both open and hidden, sin and wrongful oppression and that, without His sanction, you associate things with Him, and that you say things about Him without knowledge."
وَلِكُلِّ اُمَّةٍ اَجَلٌ​ۚ فَاِذَا جَآءَ اَجَلُهُمۡ لَا يَسۡتَاۡخِرُوۡنَ سَاعَةً​ وَّلَا يَسۡتَقۡدِمُوۡنَ,ہر قوم کے لیے مہلت کی ایک مدت مقرر ہے، پھر جب کسی قوم کی مدت آن پوری ہوتی ہے تو ایک گھڑی بھر کی تاخیر و تقدیم بھی نہیں ہوتی,"For all people a term has been set: and when \[the end of\] their term approaches, they can neither delay it by a single moment, nor can they advance it."
يٰبَنِىۡۤ اٰدَمَ اِمَّا يَاۡتِيَنَّكُمۡ رُسُلٌ مِّنۡكُمۡ يَقُصُّوۡنَ عَلَيۡكُمۡ اٰيٰتِىۡ​ۙ فَمَنِ اتَّقٰى وَاَصۡلَحَ فَلَا خَوۡفٌ عَلَيۡهِمۡ وَلَا هُمۡ يَحۡزَنُوۡنَ ﻿﻿,(اور یہ بات اللہ نے آغاز تخلیق ہی میں صاف فرما دی تھی کہ) اے بنی آدم، یاد رکھو، اگر تمہارے پاس خود تم ہی میں سے ایسے رسول آئیں جو تمہیں میری آیات سنا رہے ہوں، تو جو کوئی نافرمانی سے بچے گا اور اپنے رویہ کی اصلاح کر لے گا اس کے لیے کسی خوف اور رنج کا موقع نہیں ہے,"Children of Adam! If messengers come to you from among yourselves, reciting My revelations to you, then those that take warning and mend their ways, on such shall come no fear nor shall they grieve."
وَالَّذِيۡنَ كَذَّبُوۡا بِاٰيٰتِنَا وَاسۡتَكۡبَرُوۡا عَنۡهَاۤ اُولٰۤٮِٕكَ اَصۡحٰبُ النَّارِ​ۚ هُمۡ فِيۡهَا خٰلِدُوۡنَ,اور جو لوگ ہماری آیات کو جھٹلائیں گے اور ان کے مقابلہ میں سرکشی برتیں گے وہی اہل دوزخ ہوں گے جہاں وہ ہمیشہ رہیں گے,"But those who deny and scorn Our revelations shall be the inmates of Hell, where they shall remain forever."
فَمَنۡ اَظۡلَمُ مِمَّنِ افۡتَـرٰى عَلَى اللّٰهِ كَذِبًا اَوۡ كَذَّبَ بِاٰيٰتِهٖ ؕ اُولٰۤٮِٕكَ يَنَالُهُمۡ نَصِيۡبُهُمۡ مِّنَ الۡـكِتٰبِ​ؕ حَتّٰٓى اِذَا جَآءَتۡهُمۡ رُسُلُـنَا يَتَوَفَّوۡنَهُمۡ ۙ قَالُوۡۤا اَيۡنَ مَا كُنۡتُمۡ تَدۡعُوۡنَ مِنۡ دُوۡنِ اللّٰهِ​ ؕ قَالُوۡا ضَلُّوۡا عَنَّا وَشَهِدُوۡا عَلٰٓى اَنۡفُسِهِمۡ اَنَّهُمۡ كَانُوۡا كٰفِرِيۡنَ,"ظاہر ہے کہ اُس سے بڑا ظالم اور کو ن ہو گا جو بالکل جھوٹی باتیں گھڑ کر اللہ کی طرف منسوب کرے یا اللہ کی سچی آیات کو جھٹلائے ایسے لوگ اپنے نوشتہ تقدیر کے مطابق اپنا حصہ پاتے رہیں گے، یہاں تک کہ وہ گھڑی آ جائے گی جب ہمارے بھیجے ہوئے فرشتے ان کی روحیں قبض کرنے کے لیے پہنچیں گے اُس وقت وہ اُن سے پوچھیں گے کہ بتاؤ، اب کہاں ہیں تمہارے وہ معبود جن کو تم کو خدا کے بجائے پکارتے تھے؟ وہ کہیں گے کہ، ""سب ہم سے گم ہو گئے"" اور وہ خود اپنے خلاف گواہی دیں گے کہ ہم واقعی منکر حق تھے","Who does a greater wrong than he who invents lies against God or rejects His revelations? Such people will have what has been decreed for them. And when Our messengers come to them to take away their souls, they shall ask them, ""Where are those you used to call upon besides God?"" They will answer, ""They have deserted us;"" and they will bear witness against themselves that they were disbelievers?"
قَالَ ادۡخُلُوۡا فِىۡۤ اُمَمٍ قَدۡ خَلَتۡ مِنۡ قَبۡلِكُمۡ مِّنَ الۡجِنِّ وَالۡاِنۡسِ فِى النَّارِ​ ؕ كُلَّمَا دَخَلَتۡ اُمَّةٌ لَّعَنَتۡ اُخۡتَهَا​ ؕ حَتّٰۤى اِذَا ادَّارَكُوۡا فِيۡهَا جَمِيۡعًا ۙ قَالَتۡ اُخۡرٰٮهُمۡ لِاُوۡلٰٮهُمۡ رَبَّنَا هٰٓؤُلَۤاءِ اَضَلُّوۡنَا فَاٰتِهِمۡ عَذَابًا ضِعۡفًا مِّنَ النَّارِ​ ؕ قَالَ لِكُلٍّ ضِعۡفٌ وَّلٰـكِنۡ لَّا تَعۡلَمُوۡنَ,اللہ فرمائے گا جاؤ، تم بھی اسی جہنم میں چلے جاؤ جس میں تم سے پہلے گزرے ہوئے گروہ جن و انس جا چکے ہیں ہر گروہ جب جہنم میں داخل ہوگا تو اپنے پیش رو گروہ پر لعنت کرتا ہوا داخل ہوگا، حتیٰ کہ جب سب وہاں جمع ہو جائیں گے تو ہر بعد والا گروہ پہلے گروہ کے حق میں کہے گا کہ اے رب، یہ لوگ تھے جنہوں نے ہم کو گمراہ کیا لہٰذا انہیں آگ کا دوہرا عذاب دے جواب میں ارشاد ہوگا، ہر ایک کے لیے دوہرا ہی عذاب ہے مگر تم جانتے نہیں ہو,"God will say, ""Enter the Fire and join the bands of jinn and men that have gone before you."" Every time a host enters \[the fire\], it will curse its fellow-host, then, when they are all gathered there, the last of them will say of the first, ""Our Lord, it was they who led us astray: give them double punishment in the Fire,"" -- God will say, ""Every one of you will have double punishment, though you do not know it"" --"
وَقَالَتۡ اُوۡلٰٮهُمۡ لِاُخۡرٰٮهُمۡ فَمَا كَانَ لَـكُمۡ عَلَيۡنَا مِنۡ فَضۡلٍ فَذُوۡقُوا الۡعَذَابَ بِمَا كُنۡتُمۡ تَكۡسِبُوۡنَ,اور پہلا گروہ دوسرے گروہ سے کہے گا کہ (اگر ہم قابل الزام تھے) تو تمہی کو ہم پر کونسی فضیلت حاصل تھی، اب اپنی کمائی کے نتیجہ میں عذاب کا مزا چکھو,"then the preceding one will say to the succeeding one: you are no better than us: so taste the punishment you have earned."""
اِنَّ الَّذِيۡنَ كَذَّبُوۡا بِاٰيٰتِنَا وَاسۡتَكۡبَرُوۡا عَنۡهَا لَا تُفَتَّحُ لَهُمۡ اَبۡوَابُ السَّمَآءِ وَلَا يَدۡخُلُوۡنَ الۡجَـنَّةَ حَتّٰى يَلِجَ الۡجَمَلُ فِىۡ سَمِّ الۡخِيَاطِ​ ؕ وَكَذٰلِكَ نَجۡزِى الۡمُجۡرِمِيۡنَ,یقین جانو، جن لوگوں نے ہماری آیات کو جھٹلایا ہے اور ان کے مقابلہ میں سرکشی کی ہے ان کے لیے آسمان کے دروازے ہرگز نہ کھولے جائیں گے اُن کا جنت میں جانا اتنا ہی ناممکن ہے جتنا سوئی کے ناکے سے اونٹ کا گزرنا مجرموں کو ہمارے ہاں ایسا ہی بدلہ ملا کرتا ہے,"The gates of Heaven shall not be opened for those who rejected Our signs and arrogantly spurned them; nor shall they enter Paradise until a camel shall pass through the eye of a needle. That is how We repay the evil-doers,"
لَهُمۡ مِّنۡ جَهَـنَّمَ مِهَادٌ وَّمِنۡ فَوۡقِهِمۡ غَوَاشٍ​ ؕ وَكَذٰلِكَ نَجۡزِى الظّٰلِمِيۡنَ,ان کے لیے تو جہنم کا بچھونا ہوگا اور جہنم ہی کا اوڑھنا یہ ہے وہ جزا جو ہم ظالموں کو دیا کرتے ہیں,"Hell shall be their bed, and over them will be coverings of fire, thus shall We reward the wrongdoers."
وَالَّذِيۡنَ اٰمَنُوۡا وَعَمِلُوا الصّٰلِحٰتِ لَا نُـكَلِّفُ نَفۡسًا اِلَّا وُسۡعَهَاۤ  اُولٰۤٮِٕكَ اَصۡحٰبُ الۡجَـنَّةِ​ۚ هُمۡ فِيۡهَا خٰلِدُوۡنَ,بخلاف اس کے جن لوگوں نے ہماری آیات کو مان لیا ہے اور اچھے کام کیے ہیں اور اس باب میں ہم ہر ایک کو اس کی استطاعت ہی کے مطابق ذمہ دار ٹھیراتے ہیں وہ اہل جنت ہیں جہاں وہ ہمیشہ رہیں گے,"But those who believed and did good deeds, and We do not burden any soul with more than it can bear, such are the heirs of the Garden and there they will remain forever."
وَنَزَعۡنَا مَا فِىۡ صُدُوۡرِهِمۡ مِّنۡ غِلٍّ تَجۡرِىۡ مِنۡ تَحۡتِهِمُ الۡاَنۡهٰرُ​ۚ وَقَالُوا الۡحَمۡدُ لِلّٰهِ الَّذِىۡ هَدٰٮنَا لِهٰذَا وَمَا كُنَّا لِنَهۡتَدِىَ لَوۡلَاۤ اَنۡ هَدٰٮنَا اللّٰهُ​ ​ۚ لَقَدۡ جَآءَتۡ رُسُلُ رَبِّنَا بِالۡحَـقِّ​ ؕ وَنُوۡدُوۡۤا اَنۡ تِلۡكُمُ الۡجَـنَّةُ اُوۡرِثۡتُمُوۡهَا بِمَا كُنۡتُمۡ تَعۡمَلُوۡنَ ﻿﻿,"ان کے دلوں میں ایک دوسرے کے خلاف جو کچھ کدورت ہوگی اسے ہم نکال دیں گے اُن کے نیچے نہریں بہتی ہونگی، اور وہ کہیں گے کہ ""تعریف خدا ہی کے لیے ہے جس نے ہمیں یہ راستہ دکھایا، ہم خود راہ نہ پا سکتے تھے اگر خدا ہماری رہنمائی نہ کرتا، ہمارے رب کے بھیجے ہوئے رسول واقعی حق ہی لے کر آئے تھے"" اُس وقت ندا آئے گی کہ ""یہ جنت جس کے تم وارث بنائے گئے ہو تمہیں اُن اعمال کے بدلے میں ملی ہے جو تم کرتے رہے تھے""","And We shall remove whatever rancour may be in their hearts. At their feet shall flow rivers. And they shall say, ""All praise belongs to God who has guided us to this. Had God not guided us, we would never have found the way. The messengers of our Lord brought the Truth."" A voice will call out to them, ""This is the Garden which you have inherited by your labours."""
وَنَادٰٓى اَصۡحٰبُ الۡجَـنَّةِ اَصۡحٰبَ النَّارِ اَنۡ قَدۡ وَجَدۡنَا مَا وَعَدَنَا رَبُّنَا حَقًّا فَهَلۡ وَجَدْتُّمۡ مَّا وَعَدَ رَبُّكُمۡ حَقًّا​ ؕ قَالُوۡا نَـعَمۡ​ ۚ فَاَذَّنَ مُؤَذِّنٌۢ بَيۡنَهُمۡ اَنۡ لَّـعۡنَةُ اللّٰهِ عَلَى الظّٰلِمِيۡنَۙ ﻿﻿,"پھر یہ جنت کے لوگ دوزخ والوں سے پکار کر کہیں گے، ""ہم نے اُن سارے وعدوں کو ٹھیک پا لیا جو ہمارے رب نے ہم سے کیے تھے، کیا تم نے بھی ان وعدوں کو ٹھیک پایا جو تمہارے رب نے کیے تھے؟"" وہ جواب دیں گے ""ہاں"" تب ایک پکارنے والا ان کے درمیان پکارے گا کہ ""خدا کی لعنت اُن ظالموں پر","The people of the Garden will call out to the people of the Fire, ""We have found that what our Lord promised us is true. Have you, too, found that what your Lord promised you is true?"" They will say, ""Yes, we have!"" Then a crier shall call out among them saying, ""The curse of God is upon the wrongdoers --"
الَّذِيۡنَ يَصُدُّوۡنَ عَنۡ سَبِيۡلِ اللّٰهِ وَيَـبۡـغُوۡنَهَا عِوَجًا​ ۚ وَهُمۡ بِالۡاٰخِرَةِ كٰفِرُوۡنَ​ۘ,"جو اللہ کے راستے سے لوگوں کو روکتے اور اسے ٹیڑھا کرنا چاہتے تھے اور آخرت کے منکر تھے""","who turned people away from the path of God and sought to make it appear crooked, and who denied the Hereafter."""
وَبَيۡنَهُمَا حِجَابٌ​ۚ وَعَلَى الۡاَعۡرَافِ رِجَالٌ يَّعۡرِفُوۡنَ كُلًّاۢ بِسِيۡمٰٮهُمۡ​ ۚ وَنَادَوۡا اَصۡحٰبَ الۡجَـنَّةِ اَنۡ سَلٰمٌ عَلَيۡكُمۡ​ لَمۡ يَدۡخُلُوۡهَا وَهُمۡ يَطۡمَعُوۡنَ,"ان دونوں گروہوں کے درمیان ایک اوٹ حائل ہوگی جس کی بلندیوں (اعراف) پر کچھ اور لوگ ہوں گے یہ ہر ایک کو اس کے قیافہ سے پہچانیں گے اور جنت والوں سے پکار کر کہیں گے کہ ""سلامتی ہو تم پر"" یہ لوگ جنت میں داخل تو نہیں ہوئے مگر اس کے امیدوار ہونگے","A barrier will divide the two groups, and on the heights there will be men who recognize each group by their marks. They will call out to the people of the Garden, ""Peace be with you."" They will not have yet entered, but they will be hoping \[to do so\],"
وَاِذَا صُرِفَتۡ اَبۡصَارُهُمۡ تِلۡقَآءَ اَصۡحٰبِ النَّارِۙ قَالُوۡا رَبَّنَا لَا تَجۡعَلۡنَا مَعَ الۡقَوۡمِ الظّٰلِمِيۡنَ,"اور جب ان کی نگاہیں دوزخ والوں کی طرف پھریں گی تو کہیں گے، ""اے رب! ہمیں اِن ظالم لوگوں میں شامل نہ کیجیو""","and when they turn their eyes towards the inmates of the Fire, they will say, ""Our Lord, do not include us among the wrongdoers!"""
وَنَادٰٓى اَصۡحٰبُ الۡاَعۡرَافِ رِجَالًا يَّعۡرِفُوۡنَهُمۡ بِسِيۡمٰٮهُمۡ قَالُوۡا مَاۤ اَغۡنٰى عَنۡكُمۡ جَمۡعُكُمۡ وَمَا كُنۡتُمۡ تَسۡتَكۡبِرُوۡنَ,"پھر یہ اعراف کے لوگ دوزخ کی چند بڑی بڑی شخصیتوں کو ان کی علامتوں سے پہچان کر پکاریں گے کہ ""دیکھ لیا تم نے، آج نہ تمہارے جتھے تمہارے کسی کام آئے اور نہ وہ ساز و سامان جن کو تم بڑی چیز سمجھتے تھے","And the people of the heights will call out to men they recognize by their marks, ""What use have your great numbers and your false pride been?"
اَهٰٓؤُلَۤاءِ الَّذِيۡنَ اَقۡسَمۡتُمۡ لَا يَنَالُهُمُ اللّٰهُ بِرَحۡمَةٍ ​ؕ اُدۡخُلُوا الۡجَـنَّةَ لَا خَوۡفٌ عَلَيۡكُمۡ وَلَاۤ اَنۡتُمۡ تَحۡزَنُوۡنَ,"اور کیا یہ اہل جنت وہی لوگ نہیں ہیں جن کے متعلق تم قسمیں کھا کھا کر کہتے تھے کہ اِن کو تو خدا پنی رحمت میں سے کچھ بھی نہ دے گا؟ آج انہی سے کہا گیا کہ داخل ہو جاؤ جنت میں، تمہارے لیے نہ خوف ہے نہ رنج""","See! are these not the people you swore would never earn God's mercy? 'Enter the Garden! No fear shall come upon you nor shall you grieve.'"""
وَنَادٰٓى اَصۡحٰبُ النَّارِ اَصۡحٰبَ الۡجَـنَّةِ اَنۡ اَفِيۡضُوۡا عَلَيۡنَا مِنَ الۡمَآءِ اَوۡ مِمَّا رَزَقَكُمُ اللّٰهُ ​ؕ قَالُـوۡۤا اِنَّ اللّٰهَ حَرَّمَهُمَا عَلَى الۡـكٰفِرِيۡنَ ۙ,"اور دوزخ کے لوگ جنت والوں کو پکاریں گے کہ کچھ تھوڑا سا پانی ہم پر ڈال دو یا جو رزق اللہ نے تمہیں دیا ہے اُسی میں سے کچھ پھینک دو وہ جواب دیں گے کہ ""اللہ نے یہ دونوں چیزیں اُن منکرین حق پر حرام کر دی ہیں","The people of the Fire shall call out to the people of heaven, ""Pour out some water on us, or give us something out of that which God has bestowed upon you."" But the blessed will reply, ""God has forbidden all that to those who denied the truth."
الَّذِيۡنَ اتَّخَذُوۡا دِيۡنَهُمۡ لَهۡوًا وَّلَعِبًا وَّغَرَّتۡهُمُ الۡحَيٰوةُ الدُّنۡيَا​​ ۚ فَالۡيَوۡمَ نَنۡسٰٮهُمۡ كَمَا نَسُوۡا لِقَآءَ يَوۡمِهِمۡ هٰذَا ۙ وَمَا كَانُوۡا بِاٰيٰتِنَا يَجۡحَدُوۡنَ,"جنہوں نے اپنے دین کو کھیل اور تفریح بنا لیا تھا اور جنہیں دنیا کی زندگی نے فریب میں مبتلا کر رکھا تھا اللہ فرماتا ہے کہ آج ہم بھی انہیں اسی طرح بھلا دیں گے جس طرح وہ اِس دن کی ملاقات کو بھولے رہے اور ہماری آیتوں کا انکار کرتے رہے""","Who treated religion as a pastime and an idle sport and whom the life of the world had beguiled."" On that Day We shall forget them, as they forgot their meeting of that Day with Us, for they denied Our revelations."
وَلَقَدۡ جِئۡنٰهُمۡ بِكِتٰبٍ فَصَّلۡنٰهُ عَلٰى عِلۡمٍ هُدًى وَّرَحۡمَةً لِّـقَوۡمٍ يُّؤۡمِنُوۡنَ,ہم اِن لوگوں کے پاس ایک ایسی کتاب لے آئے ہیں جس کو ہم نے علم کی بنا پر مفصل بنایا ہے اور جو ایمان لانے والوں کے لیے ہدایت اور رحمت ہے,"And surely We have brought them a Book which We have expounded with knowledge, a guide and a mercy for those who believe."
